start	end	text
0	7520	The second day is over.
7520	23260	You have now eight more left to work, to work diligently, ardently.
23260	32340	Second day, slightly better than the first day, slightly better.
32340	38800	The difficulties are still there.
38800	46140	What a wandering mind, a fleeting mind, a flickering mind.
46140	71380	So instable, so unstable, so infirm, so agitated, no peace, no tranquility, so wild, like a wild animal, a monkey mind,
71380	89100	grasping one branch after the other, one branch after the other, one object after the other, one object after the other, highly agitated, certainly very wild,
89100	94380	like a wild bull, a wild elephant.
94380	118460	When it comes in the midst of a human society, dwellings of human beings, it proves so dangerous, it creates havoc, so harmful.
118540	130820	But an experienced person, a wise person, trains this wild elephant, the wild bull,
130820	143620	trains this wild elephant, the wild bull, working very patiently, patiently and persistently.
143700	157860	And once this wild animal is tamed, trained, all its enormous strength comes to serve the human society.
157860	162260	It starts serving the human society.
162340	174740	Its strength was a great danger to the human society, and now this very strength turns into a great service to the human society.
174740	192180	Similarly, this wild mind, so long as it remains untrained, untamed, very dangerous, very dangerous, very harmful.
192180	206180	And if you somehow train it, tame it, its enormous strength starts helping us.
206180	224180	And the strength of the mind, in comparison with the strength of a wild elephant, many more times it is stronger, more powerful.
224180	231300	And no one can harm us more than our own wild mind.
231300	242100	And no one can help us more than our own trained mind, tamed mind, disciplined mind.
242100	256100	But as it requires a lot of patience to train a wild elephant, one who is experienced in training the wild elephant or wild bull,
256100	266100	does not get irritated, does not develop anger or hatred towards this wild animal, very patiently.
266100	274100	Very patiently. One works very patiently, but persistently.
274100	284100	Similarly, you have to deal with your wild mind very patiently.
284100	292100	You want to get it trained in one day, or two days, or no, no.
292100	300100	And you become irritated because it is not getting trained. Look, I have given two days of my life and yet it is not getting trained.
300100	308100	You become irritated, irritated, it becomes more wild, it becomes more dangerous.
308100	312100	Patience. You have to work very patiently.
312100	324100	But persistently, persistently, continuously, continuously, ultimately you will win.
324100	332100	The mind is bound to get disciplined. But you have to work.
332100	340100	No one else can work for you. You have to fight out your own battle.
340100	346100	You have to work out your own salvation, your own liberation.
346100	352100	None else can do that for you.
352100	366100	Someone who has been successful in controlling the mind, someone who has become successful in purifying the mind,
366100	378100	someone who has become liberated, enlightened, with all the compassion and love, this person will show the path.
378100	382100	But you have to walk on the path.
382100	392100	You have to take every step on the path yourself. Step by step, step by step, you have to reach the final goal.
392100	396100	Nobody will take you on his shoulder to the final goal.
396100	403100	Nobody can take anyone else on the shoulder and reach the final goal. Impossible.
403100	407100	Each individual has to work.
407100	419100	Of course, when you start taking steps on the path of Dhamma, the path of liberation, the path of enlightenment,
419100	422100	the law of nature is such.
422100	431100	The universal law of nature is such that you get tuned up with the good vibrations of saintly people,
431100	437100	good vibrations of Dhamma, and you get all the inspiration and the strength.
437100	443100	You start getting so much support. I know it with my own personal experience.
444100	451100	And also the experience of so many students, you will get support.
451100	457100	You call it grace, you call it mercy, you call whatever you like. You will get support.
