start	end	text
0	16480	You attended the Satipatthana course to understand it directly in the words of Buddha.
16480	20200	Not that in the first Satipatthana course one understands everything.
20200	25520	As I said, every word will be clear when you reach the final goal.
25520	30120	But it will become clearer and clearer as you practice.
30120	34080	So many questions keep coming, I smile at the questions, they are good.
34080	36480	After all, human being is a rational being.
36480	41560	He wants to rationalize whatever one is doing.
41560	44200	Yes, it is good, one should do.
44200	50720	But questions, somebody who has passed through that process, it looks like a child's question.
51080	54640	When people ask, the same very persons who are asking this question,
54640	58240	practicing further, further, further, the answer will come.
58240	59960	And the answer that will come by your own...
