start	end	text
0	11400	The sixth day is over, you have now four more left to work and work very
11400	22640	seriously, very diligently, very patiently and persistently to get best
22640	33200	results of your stay here. Sixth day is a very important day. I am glad you
33200	42520	have crossed this hurdle, sixth day. As I said, the second day and the sixth day, it
42520	49400	is difficult for a weak-minded person to cross the hurdle. On the first day, even
49400	56240	when you start on upon, operation starts and with this operation, the second day
56240	62400	one feels like running away. Then again after Vipassana, the fifth day, sixth day,
62400	69440	operation goes deeper and one feels like running away under some pretext or the
69440	79080	other. One pretext. On the fifth day evening, the discourse says so much about
79080	84880	Dukkha, misery, misery. The birth starts with misery and then the whole life
84880	91640	misery, misery of disease, misery of old age, misery of dying, misery of things
91640	95200	happening which you don't like, misery of things not happening that you like,
95200	104760	misery, misery, life after life misery. Oh, this path is path of misery. One doesn't
104760	112000	want to understand. This is a very pessimistic teaching. No, I must run.
112000	118880	Doesn't try to understand or finds an excuse to run away. There is no pessimism,
118880	125840	not a trace of pessimism in the teaching. If the teaching said that you have to
125840	130560	suffer, there is misery, there is no way out, then yes, pessimism. But the teaching
130560	136280	says there's a way out. You can come out of all your miseries and you can reach
136280	142120	the stage where you are totally free from misery. Enjoy real peace, real harmony,
142120	153040	full of optimism, full of optimism. Back home in India there is a story, story in
153040	164160	our country. A mother sends the young son to the grocery shop nearby, gives one
164160	171760	empty bottle, one ten rupee currency note, go, go and buy some cooking oil. The boy
171760	179240	goes, goes, purchases oil, the oil bottle is filled with oil. On his way back, out
179240	187600	of carelessness, he gets knocked down. The bottle falls. Half of the oil flows
187600	194960	out. He picks up the bottle, half empty. Crying, crying, he comes to the mother,
194960	202520	oh mother, I lost half the oil. I lost half the oil. Very pessimistic, very
202520	210120	pessimistic. Story is story. Mother sends another son, another ten rupee note,
210120	216560	another bottle. He also buys oil, gets the bottle filled and story is story.
216560	224520	He also falls down. The bottle falls down. Half the oil has flowed out. This
224520	229400	boy picks up the bottle, very happy, smiling and goes to the mother, look I
229400	234920	saved half the oil. I saved half the oil. I fell down, the bottle fell down, the
234920	238920	bottle would have broken, all the oil would have gone away. Look, half the oil is
238920	244320	saved. Both have reached in the same situation, half bottle full, half empty.
244320	249160	One is crying for the empty one, very pessimistic. Other is happy with the
249160	256920	filled one, at least half is full. Very happy, optimistic. Story is story.
256920	263680	Mother sends the third son. And story is story. He also falls down. Half the bottle
263680	268080	is oil is out. He picks up the bottle like the second boy. He comes smiling. I
268080	275640	saved half the bottle. I saved half oil. But this boy is a Vipassana boy. Not only
275640	282120	optimistic, he is realistic also. I have lost half the oil. This is truth. My bottle
282120	288640	is half empty. And not only realistic, he is a workist like Vipassana. Now I must
288640	294600	work. He says I go out and work hard and by this evening I will earn five rupees
294600	302720	and get this bottle filled. Dhamma is not merely optimism, it is also realism, it is
302720	309120	also workism. So each individual has to work. Always remaining optimistic. Now
309120	315880	pessimism, not a trace of pessimism in Dhamma, all optimism, optimism. You got a
315880	321800	path now to come out of misery. Misery is there. You have to accept it. Half bottle is
321800	327480	empty. You have to accept it. How to fill it? The misery is there. Accept that misery.
327480	332800	And the way is there to come out of misery. Make use of that. This is what you
332800	339880	started doing. You are realizing the truth. It is not merely intellectual
339880	345000	exercise. Not an emotional or devotional acceptance of the truth of misery and
345000	350160	the way out of misery. You are experiencing. When you are working with
350160	357720	the sensation, you are living. Living wisdom is there. The truth is there which
357720	364480	you are experiencing. It is not the wisdom of somebody else. Not a borrowed
364480	370040	wisdom. Your own wisdom with direct experience. The whole process of
370040	378000	observing the sensation makes you understand. Because you started giving
378000	381840	importance to the truth within the framework of the body and the truth at
382320	388720	the experiential level. Otherwise whole life all importance was given to object
388720	398120	outside, object outside. You are craving. Even though you know you are craving. But
398120	402800	you are craving for object outside. And that object has become so predominant
402800	407360	for you. It keeps on overpowering you. You forget that you are craving. And you
407360	411320	also forget that by craving you have lost the balance of your life of your
411320	419440	mind. And you become very miserable. And you also don't understand that you have
419440	426120	become an addict to this craving. A natural requirement. You are thirsty. You
426120	432280	want water. Nothing wrong. You work hard to get water when you are thirsty. You
432280	436840	tried. You didn't get water. You smiled. All right. I try again. You didn't get. I
436840	441800	try again. You don't lose the balance of your mind. But when you start craving
441800	447200	water. Oh still not water. What will happen to me? I may die. Water. Water. You lost
447200	452720	the balance of your mind. You become so miserable. One is not observing all that
452720	460720	inside. Water is not that important. You are craving. Even craving is not that
460720	465400	important. Craving brings misery. The moment you start craving something that
465400	473800	means you are wanting something which is not there. You are not contented. You are
473800	479520	not satisfied with whatever is. You want something which is not. Which is not is
479520	484120	which is not. And you become very miserable because of that. You keep on
484120	489320	realizing this. Look I am becoming miserable. I am becoming miserable. Then
489320	494520	there is a way to come out of it. You don't know anything. You just go get
494520	499320	overpowered by this misery of craving. And then you don't know how you become
499320	507560	addicted to this craving. This becomes worse. One becomes addicted to craving.
507560	514320	When you start observing sensations a stage will come sooner. Maybe later in
514320	521400	some cases. When you start understanding that you are actually not craving for
521400	528040	this object or that object. You are craving for a particular sensation. When
528040	534320	you crave, crave for anything, a sensation arises. And when that craving is
534320	538880	fulfilled there is no more sensation. And you want that sensation again. So you have
538880	543480	to crave for something else. Once your craving is fulfilled, the object is
543480	550320	attained. It becomes still and you want something else. That is attained. Again
550320	555000	it becomes still. You want something else. You have become addicted to this craving.
555000	562120	Say somebody is living in a one-bedroom cottage. Quite happy. Suddenly it comes to
562120	566480	his mind. What one bedroom cottage? I must have at least a big house with three
566480	572880	bedrooms. Alright. Had a house with three bedrooms. Then it must be well furnished.
572880	578600	This furniture, that furniture. Well furnished. Alright. Well furnished. Then
578600	583520	that becomes still. Then I must have this apparatus, that apparatus. A TV and a
583520	589920	color TV and VCR and a definite deck or washing machine or cleaning
