start	end	text
0	19120	The first day of this Satipatthana course is over.
19120	34360	And the technique remains the same, your practice remains the same.
34360	49920	But the course is a special course in the sense that you will try to understand the
49920	72080	words of the enlightened one, the Buddha, with reference to the technique.
72080	94120	Words of Buddha or words of Buddha, a fully enlightened person, every word is so enlightening,
94120	116800	full of wisdom, every discourse of Buddha is so sweet, so precious.
116800	134360	All the teachings of Buddha, all the discourses of Buddha, they are like a big sweet cake.
134360	149960	Whichever portion you cut and eat, you get the same taste, the taste of nectar, ambrosia.
149960	160680	But we have chosen specially this discourse because it deals with the technique that you
160680	170520	are practicing in detail.
170520	189460	It is better that the serious old students try to understand the technique, listening
189460	204540	to the actual words of the Buddha himself, to understand what he wanted us to do and
204540	209640	what we are doing.
209640	225480	To understand the theoretical aspect of the practice more clearly, in more detail.
225480	235400	And to come out of any confusion that one might have developed pertaining to the technique.
235400	248360	Unfortunately this has happened in some cases, big confusion.
248360	263400	A few students, having taken a few courses, out of their enthusiasm, started teaching
263760	275040	without getting proper training, without going in the subject deeply.
275040	282060	And they started mixing so many things with the technique.
282060	291300	It happened in the West, it also happened in India.
291300	307180	In India, mostly by such people who had great attachment to their own sectarian views.
307180	313180	But they had no technique of meditation.
313180	320860	They just attended a few courses, had a superficial knowledge of the technique and then started
320860	330160	teaching it, giving it a colour of their own belief, sectarian, philosophical belief.
330160	335620	And mixing up so many things.
335620	343360	And when some of the Vipassana students go to them and take a course with them, they
343360	346800	get very much confused.
346800	351660	Because here is a student of Goenka who has taken courses in Vipassana and he has started
351660	354140	teaching now.
354140	356740	And look what he is teaching.
356740	360380	Is this right or is that right?
360380	364020	Great confusion.
364020	368820	Such things have happened in the West also.
368840	376800	In the West a big confusion is the reason that people who are teaching in their own
376800	386160	way or we can say in different way, having the base of this technique, just to differentiate
386160	397200	they will say what we are teaching is Satipatthana and what you practice with Goenka is Vipassana.
397260	401260	A big confusion.
401260	404500	Satipatthana is Vipassana.
404500	412500	Vipassana is Satipatthana.
412500	420060	To get things clarified and not only that.
420080	439160	To understand Dhamma at a deeper level, relating it to the words, the direct words of the Buddha
439260	454660	gives so much of inspiration, gives guidance as to how we should practice.
454660	463020	Therefore the technique will remain the same but the evening discourses will be different.
463020	470320	Here we will go through this Satipatthana Satya discourse, a very important discourse
470320	482440	given by Buddha on this subject in detail.
482440	490080	There are three aspects of Dhamma.
490140	496520	We can say three important steps of Dhamma.
496520	504560	The first is called Pariyatti.
504560	516720	Understand during these eight days you will be hearing a number of Pali words.
516720	525660	They will look very new to you but slowly you will start understanding them and later
525660	534960	on a time will come when you will be able to develop even just a working knowledge of
534960	542680	this language, the ancient language spoken by the Buddha.
542680	548400	Then you will find every word is so inspiring.
548400	554880	If you develop just the working language, working knowledge of the language and if you
554880	564080	are a good Vipassana meditator you will notice that as you go through the words of Buddha
564080	572200	it will look as if these words are said for me.
