start	end	text
0	22720	The second day of the Satipatthana course is over.
22720	40120	This evening let us go through this discourse and understand in relation to the actual practice
40120	53800	that we are doing.
53800	65840	The name of the discourse is Mahasatipatthana Sutthana, Sutthana means discourse.
65840	76460	It is said Mahasatipatthana, the word maha means great, big.
76460	84160	That means there is something smaller than this and yes there is another discourse given
84160	91560	by Buddha on Satipatthana which is smaller than this discourse.
91560	102320	This discourse is maha, bigger because it gives, it deals with some more subjects in
102320	109120	detail therefore it is called Mahasatipatthana.
109120	123520	Sati is awareness, a very important faculty of dhamma as we discussed yesterday.
123520	134480	Sati is one of our indriyas, a faculty which one has to master to develop in dhamma.
134520	145840	Sati is one of the bala, the forces, the strength which one must develop to master dhamma.
145840	155160	Sati is one of the factors of enlightenment which one has to develop to get fully enlightened.
155160	163160	Sati is also one of the eight full noble paths, samma, sati.
163160	172760	Sati plays a very important role in the practice of dhamma.
172760	182160	The literal meaning of the word sati is and very commonly used nowadays in other languages
182160	194600	of India, present languages of India as smriti which means memory, remembrance.
194600	203520	But when you practice vipashyana there is no memory involved, you are not remembering
203520	207440	something of the past.
207440	216160	Here what you have to remember is, remember your object of meditation.
216160	221280	That means the reality within the framework of the body, the reality pertaining to mind
221280	222280	and matter.
222280	227880	You should always remember that your mind does not wander away from this reality.
227880	231400	That is in that sense you can say remembrance.
231400	237560	But in a better way of understanding let us say sati means awareness and this is what
237560	238560	it is.
238560	240400	You are aware.
240400	244840	You can't be aware of the past, you can't be aware of the future.
244840	247520	You can be aware of the present.
247520	254720	The reality of this moment as it is, this is sati, pathana.
254720	257260	One gets established.
257260	266640	The word pa says extensively, you get established extensively.
266640	268260	What extensively?
268260	275600	That means it is not mere awareness, along with that awareness there is element of panya,
275600	277480	element of wisdom.
277480	284160	You are not merely aware of the truth pertaining to mind and matter, you are also aware of
284160	289960	the nature of this truth pertaining to mind and matter, how it keeps on arising, passing
289960	297120	away, arising, passing away, how it is a source of misery, how it is no I, no mind, how it
297120	298120	is substance-less.
298120	310320	All that has not to be understood merely at the intellectual level with direct experience.
310320	317440	And therefore pathana, panya, the bhavanamaya panya is there, with your own direct experience
317440	323360	you develop your awareness with the wisdom which makes you understand the reality in
323360	330240	its true nature, not just as it appears to be, not just as it seems to be, but in its
330240	339240	true nature and that is why it is maha sati pathana sutta.
339240	353480	When the discourse starts, evam me sutam, this is what was heard by me, this was heard
353480	356360	by me.
356360	368560	These are not the words of buddha, somebody else says, this was heard by me.
368560	376920	These are the words of someone else, there is a history behind it and a very important
376920	384680	history which a vipassana meditator should know.
384680	396080	At the ripened age of 80 years when buddha passed away, most of his students who were
396080	404360	present at that time and who had reached the final goal of arhanthood, fully liberated,
404360	411560	they understood the law of nature, everyone who takes birth has to pass away.
411560	416800	Whether one is buddha or an ordinary person makes no difference.
416800	422260	When time ripens, one has to pass away.
422260	431980	For those who were not developed in dhamma, they felt very sorry, very sad, some of them
431980	438100	even started crying.
438100	449540	There was one person who felt very happy.
449540	459500	An old monk, in age old, not in wisdom, he felt very happy, oh good, this old man has
459500	463300	passed away.
463300	468860	All the time we were under his clutches, do this, don't do this, do this, don't do this,
468860	472420	now we are free to do whatever we like.
472420	477980	One of his teachings, attahi attanonathu, you are your own master, now I can be my own
477980	481780	master, wonderful.
481780	492940	That shows that such elements had entered in the sangha who were not interested in dhamma.
492940	502100	They just took robes because they found by entering the sangha, becoming a monk in the
502100	508000	name of buddha, will give them some status in the society.
508000	512620	They can live a comfortable life, people will give more arms to them than they would have
512620	522300	received otherwise, and they will get more respect, they were not interested in dhamma.
522300	535680	Now this person, I feel extremely grateful to this person, thankful to this person, why?
535680	542860	Because when he announced that wonderful buddha has passed away, one of the chief disciples
542860	553420	of buddha, when he heard this, he thought even today if there are such people, what
553420	563700	is going to happen in the future, later on such elements will become predominant, and
563700	570940	they will just distort the teaching of buddha in their own way, and actually this happened
570940	575120	also after some time.
575120	577880	How to save it?
