start	end	text
0	5000	The sixth day is over.
5000	17000	You have now four more left to work and work very seriously, very diligently,
17000	26000	very patiently and persistently to get best results of your stay here.
26000	32000	Sixth day is a very important day.
32000	37000	I am glad you have crossed this hurdle, sixth day.
37000	42000	As I said, the second day and the sixth day,
42000	47000	it is difficult for a weak-minded person to cross the hurdle.
47000	54000	On the first day, even when you start anapan, operation starts,
54000	59000	and with this operation the second day one feels like running away.
59000	62000	Then again after we...
